signal_date,ticker,score,ref_price,rank,tp,sl
2026-07-17,1303,3.95,199.0,2,262.9,151.1
2026-07-17,6446,3.82,1195.0,3,1515.6,954.5
2026-07-17,2634,3.8,61.2,4,75.7,50.3
2026-07-17,1326,3.75,66.1,5,84.1,52.6
2026-07-17,1301,3.67,62.8,6,77.7,51.7
2026-07-17,2887,3.63,35.5,7,39.8,32.3
2026-07-20,6505,3.98,77.7,1,92.4,66.7
2026-07-20,1303,3.9,186.5,2,251.6,137.7
2026-07-20,2634,3.9,65.0,3,80.0,53.7
2026-07-20,6446,3.82,1175.0,4,1488.7,939.7
2026-07-20,1301,3.7,60.6,5,75.8,49.2
2026-07-20,1326,3.67,64.2,6,82.4,50.6
2026-07-20,2887,3.63,35.2,7,39.6,31.8
2026-07-21,6505,4.0,85.4,1,101.3,73.4
2026-07-21,2634,3.92,71.5,2,87.9,59.2
2026-07-21,1326,3.83,68.6,3,86.8,55.0
2026-07-21,1303,3.78,195.5,4,261.3,146.1
2026-07-21,1301,3.75,63.0,5,78.1,51.7
2026-07-21,6446,3.7,1175.0,6,1487.9,940.3
2026-07-21,2887,3.62,34.7,7,39.0,31.4
2026-07-22,6505,3.98,85.1,1,101.9,72.5
2026-07-22,1303,3.95,208.0,2,272.4,159.7
2026-07-22,2634,3.83,64.4,3,82.7,50.7
2026-07-22,1326,3.77,70.6,4,88.5,57.1
2026-07-22,2395,3.77,596.0,5,704.4,514.7
2026-07-22,1301,3.58,63.5,6,78.0,52.6
2026-07-22,2377,3.5,155.0,7,181.1,135.4
2026-07-23,6505,4.0,93.2,1,111.3,79.6
2026-07-23,1303,3.88,197.0,2,264.8,146.2
2026-07-23,2634,3.83,61.9,3,80.9,47.7
2026-07-23,2395,3.78,600.0,4,710.9,516.9
2026-07-23,1326,3.77,71.7,5,90.1,57.9
2026-07-23,1301,3.65,66.2,6,80.9,55.2
2026-07-23,2887,3.5,34.5,7,38.9,31.2
2026-07-24,6505,4.0,85.8,1,106.0,70.7
2026-07-24,2634,3.92,65.4,2,85.2,50.5
2026-07-24,1326,3.75,67.5,3,85.9,53.7
2026-07-24,6669,3.72,5730.0,4,6890.0,4860.0
2026-07-24,2395,3.72,581.0,5,694.2,496.1
2026-07-24,1301,3.63,62.7,6,77.2,51.8
2026-07-24,1303,3.63,177.5,7,247.4,125.1
